"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","4.5V","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"BZ1","1","Buzzer","","","","Buzzer_Beeper:MagneticBuzzer_CUI_CMT-8504-100-SMT",""
"C1","1","100uF","DNP","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C2","1","10 uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3,C4,C7","3","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5,C6","2","22pF","","","","Capacitor_SMD:C_0603_1608Metric",""
"D1,D2,D3,D4","4","IR204A","DNP","","","LED_THT:LED_D3.0mm_IRBlack","http://www.everlight.com/file/ProductFile/IR204-A.pdf"
"J1","1","Conn_02x03_Odd_Even","DNP","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"J2","1","1.3"" OLED display","DNP","","","Display:Adafruit_SSD1306_No_Mounting_Holes",""
"Q1","1","MMBT3904","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf"
"Q2","1","AO3400A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
"R1,R3,R4,R6,R7","5","10k Ohm","","","","Resistor_SMD:R_0805_2012Metric",""
"R2,R8","2","100 Ohm","","","","Resistor_SMD:R_0805_2012Metric",""
"R5","1","1k Ohm","","","","Resistor_SMD:R_0805_2012Metric",""
"R9,R10,R11,R12","4","10 Ohm","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","WS-1004-ARL10026","DNP","","","EASYEDA:SW-TH_WS-1004-ARL10026","https://www.lcsc.com/datasheet/C42377836.pdf"
"U1","1","TSOP382xx","DNP","","","OptoDevice:Vishay_MINICAST-3Pin","http://www.vishay.com/docs/82491/tsop382.pdf"
"U2","1","ATmega328P-A","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"Y1","1","8MHz","","","","Crystal:Crystal_SMD_HC49-SD",""
